ticker,name,theme,theme_key,sector,price,score,catalyst,sector_momentum,technical,quality,value,risk,ret1_pct,ret5_pct,ret20_pct,rsi,band52_pct,volume_ratio,marketCap_B,forwardPE,trailingPE,ps,revenueGrowth,news_score_raw,negative_news_raw,news,reason
LLY,Eli Lilly and Company,Healthcare / Biotech / GLP-1,healthcare_biotech,Healthcare,1226.26,70.5,80,78,61,85,7,89,-0.75,2.24,6.71,68.9,98.5,0.31,1093.5,27.4,43.5,15.1,55.5,0.63,0.6,23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io,"Katalizör: 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io | Teknik: RSI 68.9, 20g 6.71% | Fwd P/E 27.4 | Gelir büy. 55.5% | 52h band 98.5%"
MSFT,Microsoft Corporation,AI Infrastructure / Data Center,ai_infra,Technology,382.34,70.1,100,18,52,89,51,93,-1.67,2.5,-7.14,45.0,15.9,0.19,2840.2,19.7,22.8,8.9,18.3,4.68,0.73,Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oxipital AI Closes Series A Following Major Commercial Expansion and Rapid Adoption of its V...,"Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oxipital AI Closes Series A Following Major Commercial Expansion and Rapid Adoption of its V... | Teknik: RSI 45.0, 20g -7.14% | Fwd P/E 19.7 | Gelir büy. 18.3% | 52h band 15.9%"
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare / Biotech / GLP-1,healthcare_biotech,Healthcare,511.11,70.1,81,78,59,86,4,86,-2.13,2.89,15.39,75.1,88.7,0.27,129.7,24.0,30.3,10.6,7.8,0.73,0.0,23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io,"Katalizör: 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io | Teknik: RSI 75.1, 20g 15.39% | Fwd P/E 24.0 | Gelir büy. 7.8% | 52h band 88.7%"
DHR,Danaher Corporation,Healthcare / Biotech / GLP-1,healthcare_biotech,Healthcare,191.24,69.9,81,78,60,68,34,88,-1.52,0.4,4.42,61.5,37.3,0.16,135.4,20.7,37.0,5.5,3.7,0.73,0.0,23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io,"Katalizör: 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io | Teknik: RSI 61.5, 20g 4.42% | Fwd P/E 20.7 | Gelir büy. 3.7% | 52h band 37.3%"
XOM,ExxonMobil Holdings Corporation,Oil / Gas / LNG,energy_oil_gas,Energy,142.92,69.8,100,58,63,45,55,91,0.87,4.53,-5.82,52.7,59.6,0.37,592.4,13.4,24.1,1.8,2.6,8.57,0.24,Why Exxon (XOM) Could Beat Earnings Estimates Again - Zacks Investment Research || Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek,"Katalizör: Why Exxon (XOM) Could Beat Earnings Estimates Again - Zacks Investment Research || Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek | Teknik: RSI 52.7, 20g -5.82% | Fwd P/E 13.4 | Gelir büy. 2.6% | 52h band 59.6%"
GOOGL,Alphabet Inc.,AI Infrastructure / Data Center,ai_infra,Communication Services,360.39,69.7,100,18,57,86,41,92,-1.81,0.84,-0.81,42.3,81.6,0.17,4397.6,24.8,27.5,10.4,21.8,4.71,0.37,Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oxipital AI Closes Series A Following Major Commercial Expansion and Rapid Adoption of its V...,"Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oxipital AI Closes Series A Following Major Commercial Expansion and Rapid Adoption of its V... | Teknik: RSI 42.3, 20g -0.81% | Fwd P/E 24.8 | Gelir büy. 21.8% | 52h band 81.6%"
MRK,"Merck & Company, Inc.",Healthcare / Biotech / GLP-1,healthcare_biotech,Healthcare,126.98,69.7,81,78,60,73,22,90,-1.46,-1.18,7.01,68.3,95.2,0.25,313.6,13.2,35.9,4.8,4.9,0.73,0.0,23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io,"Katalizör: 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io | Teknik: RSI 68.3, 20g 7.01% | Fwd P/E 13.2 | Gelir büy. 4.9% | 52h band 95.2%"
PFE,"Pfizer, Inc.",Healthcare / Biotech / GLP-1,healthcare_biotech,Healthcare,24.32,69.7,81,78,47,70,51,91,1.04,1.0,-5.07,33.5,36.6,0.29,138.6,8.6,18.6,2.2,5.4,0.73,0.0,23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io,"Katalizör: 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io | Teknik: RSI 33.5, 20g -5.07% | Fwd P/E 8.6 | Gelir büy. 5.4% | 52h band 36.6%"
GD,General Dynamics Corporation,Defense / Aerospace,defense,Industrials,372.75,69.6,100,61,66,55,27,86,-0.5,5.69,9.84,57.1,95.2,0.18,100.8,20.5,23.5,1.9,10.3,5.1,0.0,"Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Teenager arrested after two girls, 13, seriously injured in German school attack","Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Teenager arrested after two girls, 13, seriously injured in German school attack | Teknik: RSI 57.1, 20g 9.84% | Fwd P/E 20.5 | Gelir büy. 10.3% | 52h band 95.2%"
ANET,"Arista Networks, Inc.",AI Infrastructure / Data Center,ai_infra,Technology,172.54,69.6,100,18,65,100,5,84,3.65,1.56,10.32,52.6,93.0,0.59,217.3,38.7,59.3,22.4,35.1,4.71,0.37,Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oxipital AI Closes Series A Following Major Commercial Expansion and Rapid Adoption of its V...,"Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oxipital AI Closes Series A Following Major Commercial Expansion and Rapid Adoption of its V... | Teknik: RSI 52.6, 20g 10.32% | Fwd P/E 38.7 | Gelir büy. 35.1% | 52h band 93.0%"
AMGN,Amgen Inc.,Healthcare / Biotech / GLP-1,healthcare_biotech,Healthcare,368.74,69.3,81,78,61,72,20,87,0.18,1.83,6.66,67.9,86.2,0.18,199.0,15.7,25.7,5.3,5.8,0.73,0.0,23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io,"Katalizör: 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io | Teknik: RSI 67.9, 20g 6.66% | Fwd P/E 15.7 | Gelir büy. 5.8% | 52h band 86.2%"
VICI,VICI Properties Inc.,REITs / Real Estate,real_estate_reits,Real Estate,26.35,69.2,89,64,46,72,51,87,-1.57,-0.75,-2.22,39.7,4.5,0.2,29.0,9.0,9.0,7.2,3.5,0.97,0.23,"Trump Says Iran Ceasefire Is ""Over."" Are Fed Rate Hikes Back On the Table? - 24/7 Wall St. || How a Fed rate hike can affect mortgages — and affordable lenders to help you save - CNBC","Katalizör: Trump Says Iran Ceasefire Is ""Over."" Are Fed Rate Hikes Back On the Table? - 24/7 Wall St. || How a Fed rate hike can affect mortgages — and affordable lenders to help you save - CNBC | Teknik: RSI 39.7, 20g -2.22% | Fwd P/E 9.0 | Gelir büy. 3.5% | 52h band 4.5%"
O,Realty Income Corporation,REITs / Real Estate,real_estate_reits,Real Estate,63.77,69.1,89,64,64,70,17,87,-0.38,2.92,6.72,59.8,80.1,0.18,59.5,37.6,52.3,10.0,12.0,0.97,0.23,"Trump Says Iran Ceasefire Is ""Over."" Are Fed Rate Hikes Back On the Table? - 24/7 Wall St. || How a Fed rate hike can affect mortgages — and affordable lenders to help you save - CNBC","Katalizör: Trump Says Iran Ceasefire Is ""Over."" Are Fed Rate Hikes Back On the Table? - 24/7 Wall St. || How a Fed rate hike can affect mortgages — and affordable lenders to help you save - CNBC | Teknik: RSI 59.8, 20g 6.72% | Fwd P/E 37.6 | Gelir büy. 12.0% | 52h band 80.1%"
LHX,"L3Harris Technologies, Inc.",Defense / Aerospace,defense,Industrials,291.83,68.8,100,61,46,70,30,85,-1.21,0.43,-3.4,37.3,30.7,0.24,54.4,21.4,31.7,4.2,190.0,5.1,0.0,"Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Teenager arrested after two girls, 13, seriously injured in German school attack","Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Teenager arrested after two girls, 13, seriously injured in German school attack | Teknik: RSI 37.3, 20g -3.4% | Fwd P/E 21.4 | Gelir büy. 190.0% | 52h band 30.7%"
RTX,RTX Corporation,Defense / Aerospace,defense,Industrials,197.34,68.7,100,61,69,50,19,89,-1.75,4.01,10.45,62.0,79.7,0.24,265.9,26.0,37.1,2.9,8.7,5.76,0.0,"Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Teenager arrested after two girls, 13, seriously injured in German school attack","Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Teenager arrested after two girls, 13, seriously injured in German school attack | Teknik: RSI 62.0, 20g 10.45% | Fwd P/E 26.0 | Gelir büy. 8.7% | 52h band 79.7%"
SPG,"Simon Property Group, Inc.",REITs / Real Estate,real_estate_reits,Real Estate,223.91,68.7,89,64,63,78,0,84,-1.44,0.12,9.18,61.7,95.1,0.16,85.1,33.2,15.6,12.8,19.3,0.97,0.23,"Trump Says Iran Ceasefire Is ""Over."" Are Fed Rate Hikes Back On the Table? - 24/7 Wall St. || How a Fed rate hike can affect mortgages — and affordable lenders to help you save - CNBC","Katalizör: Trump Says Iran Ceasefire Is ""Over."" Are Fed Rate Hikes Back On the Table? - 24/7 Wall St. || How a Fed rate hike can affect mortgages — and affordable lenders to help you save - CNBC | Teknik: RSI 61.7, 20g 9.18% | Fwd P/E 33.2 | Gelir büy. 19.3% | 52h band 95.1%"
LNG,"Cheniere Energy, Inc.",Oil / Gas / LNG,energy_oil_gas,Energy,260.88,68.5,100,58,66,51,28,86,2.31,9.15,10.26,77.1,67.4,0.38,54.7,13.4,44.1,2.6,24.2,6.96,0.24,"Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek || Oil prices rise 7%, and stocks drop worldwide after Trump says ceasefire with Iran is 'over'...","Katalizör: Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek || Oil prices rise 7%, and stocks drop worldwide after Trump says ceasefire with Iran is 'over'... | Teknik: RSI 77.1, 20g 10.26% | Fwd P/E 13.4 | Gelir büy. 24.2% | 52h band 67.4%"
TXT,Textron Inc.,Defense / Aerospace,defense,Industrials,89.92,68.5,100,61,55,45,60,84,-1.82,-1.98,-1.64,40.8,54.5,0.15,15.6,12.3,17.2,1.0,11.8,5.1,0.0,"Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Teenager arrested after two girls, 13, seriously injured in German school attack","Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Teenager arrested after two girls, 13, seriously injured in German school attack | Teknik: RSI 40.8, 20g -1.64% | Fwd P/E 12.3 | Gelir büy. 11.8% | 52h band 54.5%"
HAL,Halliburton Company,Oil / Gas / LNG,energy_oil_gas,Energy,34.99,68.4,100,58,55,45,59,88,3.54,3.05,-13.62,36.6,65.0,0.42,29.2,11.9,19.3,1.3,-0.3,6.96,0.24,"Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek || Oil prices rise 7%, and stocks drop worldwide after Trump says ceasefire with Iran is 'over'...","Katalizör: Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek || Oil prices rise 7%, and stocks drop worldwide after Trump says ceasefire with Iran is 'over'... | Teknik: RSI 36.6, 20g -13.62% | Fwd P/E 11.9 | Gelir büy. -0.3% | 52h band 65.0%"
PSA,Public Storage,REITs / Real Estate,real_estate_reits,Real Estate,324.04,67.6,89,64,63,73,0,85,-1.41,1.8,5.13,53.3,92.6,0.16,56.9,30.9,33.4,11.7,3.2,0.97,0.23,"Trump Says Iran Ceasefire Is ""Over."" Are Fed Rate Hikes Back On the Table? - 24/7 Wall St. || How a Fed rate hike can affect mortgages — and affordable lenders to help you save - CNBC","Katalizör: Trump Says Iran Ceasefire Is ""Over."" Are Fed Rate Hikes Back On the Table? - 24/7 Wall St. || How a Fed rate hike can affect mortgages — and affordable lenders to help you save - CNBC | Teknik: RSI 53.3, 20g 5.13% | Fwd P/E 30.9 | Gelir büy. 3.2% | 52h band 92.6%"
SLB,SLB Limited,Oil / Gas / LNG,energy_oil_gas,Energy,47.17,67.5,100,58,52,49,47,89,1.63,1.47,-16.58,25.2,59.5,0.32,70.5,14.2,20.8,2.0,2.7,6.96,0.24,"Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek || Oil prices rise 7%, and stocks drop worldwide after Trump says ceasefire with Iran is 'over'...","Katalizör: Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek || Oil prices rise 7%, and stocks drop worldwide after Trump says ceasefire with Iran is 'over'... | Teknik: RSI 25.2, 20g -16.58% | Fwd P/E 14.2 | Gelir büy. 2.7% | 52h band 59.5%"
WELL,Welltower Inc.,REITs / Real Estate,real_estate_reits,Real Estate,236.76,67.4,89,64,60,71,4,88,-0.35,4.31,18.38,74.7,99.1,0.19,167.1,70.5,114.4,14.2,38.3,0.97,0.23,"Trump Says Iran Ceasefire Is ""Over."" Are Fed Rate Hikes Back On the Table? - 24/7 Wall St. || How a Fed rate hike can affect mortgages — and affordable lenders to help you save - CNBC","Katalizör: Trump Says Iran Ceasefire Is ""Over."" Are Fed Rate Hikes Back On the Table? - 24/7 Wall St. || How a Fed rate hike can affect mortgages — and affordable lenders to help you save - CNBC | Teknik: RSI 74.7, 20g 18.38% | Fwd P/E 70.5 | Gelir büy. 38.3% | 52h band 99.1%"
NET,"Cloudflare, Inc.",Cybersecurity,cybersecurity,Technology,263.12,67.3,100,81,60,50,0,81,-2.12,7.28,6.19,70.2,91.5,0.44,93.3,166.5,,40.1,33.5,3.4,0.36,Accenture faces massive data breach that could put clients at risk - Cybersecurity Dive || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com,"Katalizör: Accenture faces massive data breach that could put clients at risk - Cybersecurity Dive || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com | Teknik: RSI 70.2, 20g 6.19% | Fwd P/E 166.5 | Gelir büy. 33.5% | 52h band 91.5%"
TSM,Taiwan Semiconductor Manufactur,Semiconductor / Equipment,semiconductor,Technology,430.93,67.3,84,3,55,98,62,90,-0.38,-9.77,1.21,51.2,81.5,0.33,2235.0,21.2,37.4,0.5,35.1,1.03,0.09,Chip worker shortage puts U.S. semiconductor boom on the brink - Los Angeles Times || Revenue and Growth Outlook Affirm Why Taiwan Semiconductor Manufacturing Co. (TSM) is a Top ...,"Katalizör: Chip worker shortage puts U.S. semiconductor boom on the brink - Los Angeles Times || Revenue and Growth Outlook Affirm Why Taiwan Semiconductor Manufacturing Co. (TSM) is a Top ... | Teknik: RSI 51.2, 20g 1.21% | Fwd P/E 21.2 | Gelir büy. 35.1% | 52h band 81.5%"
TMO,Thermo Fisher Scientific Inc,Healthcare / Biotech / GLP-1,healthcare_biotech,Healthcare,510.14,67.3,81,78,59,60,28,87,-1.25,1.75,8.73,67.0,45.4,0.17,189.6,18.7,28.0,4.2,6.2,0.73,0.0,23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io,"Katalizör: 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io | Teknik: RSI 67.0, 20g 8.73% | Fwd P/E 18.7 | Gelir büy. 6.2% | 52h band 45.4%"
NOC,Northrop Grumman Corporation,Defense / Aerospace,defense,Industrials,546.07,67.2,100,61,60,50,26,85,-0.54,7.22,0.97,48.0,18.4,0.3,77.6,18.1,17.1,1.8,4.4,5.1,0.0,"Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Teenager arrested after two girls, 13, seriously injured in German school attack","Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Teenager arrested after two girls, 13, seriously injured in German school attack | Teknik: RSI 48.0, 20g 0.97% | Fwd P/E 18.1 | Gelir büy. 4.4% | 52h band 18.4%"
PLD,"Prologis, Inc.",REITs / Real Estate,real_estate_reits,Real Estate,141.63,67.2,89,64,56,71,11,86,-1.38,4.55,-0.09,42.6,87.1,0.24,135.1,41.8,35.6,14.4,8.3,0.97,0.23,"Trump Says Iran Ceasefire Is ""Over."" Are Fed Rate Hikes Back On the Table? - 24/7 Wall St. || How a Fed rate hike can affect mortgages — and affordable lenders to help you save - CNBC","Katalizör: Trump Says Iran Ceasefire Is ""Over."" Are Fed Rate Hikes Back On the Table? - 24/7 Wall St. || How a Fed rate hike can affect mortgages — and affordable lenders to help you save - CNBC | Teknik: RSI 42.6, 20g -0.09% | Fwd P/E 41.8 | Gelir büy. 8.3% | 52h band 87.1%"
HPE,Hewlett Packard Enterprise Comp,AI Infrastructure / Data Center,ai_infra,Technology,43.81,67.0,100,18,57,58,76,86,0.77,-2.89,-11.9,35.3,66.7,0.21,58.0,11.0,40.9,1.5,40.0,4.71,0.37,Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oxipital AI Closes Series A Following Major Commercial Expansion and Rapid Adoption of its V...,"Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oxipital AI Closes Series A Following Major Commercial Expansion and Rapid Adoption of its V... | Teknik: RSI 35.3, 20g -11.9% | Fwd P/E 11.0 | Gelir büy. 40.0% | 52h band 66.7%"
DELL,Dell Technologies Inc.,AI Infrastructure / Data Center,ai_infra,Technology,420.11,66.7,100,18,62,53,71,87,0.68,-2.63,4.83,54.5,87.1,0.72,271.5,19.6,33.4,2.0,87.5,4.93,0.37,Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oxipital AI Closes Series A Following Major Commercial Expansion and Rapid Adoption of its V...,"Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oxipital AI Closes Series A Following Major Commercial Expansion and Rapid Adoption of its V... | Teknik: RSI 54.5, 20g 4.83% | Fwd P/E 19.6 | Gelir büy. 87.5% | 52h band 87.1%"
LMT,Lockheed Martin Corporation,Defense / Aerospace,defense,Industrials,531.06,66.6,100,61,62,38,40,86,-0.81,4.24,2.11,48.3,46.9,0.22,122.4,16.5,25.7,1.6,0.3,5.1,0.0,"Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Teenager arrested after two girls, 13, seriously injured in German school attack","Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Teenager arrested after two girls, 13, seriously injured in German school attack | Teknik: RSI 48.3, 20g 2.11% | Fwd P/E 16.5 | Gelir büy. 0.3% | 52h band 46.9%"
HII,"Huntington Ingalls Industries, ",Defense / Aerospace,defense,Industrials,286.29,66.5,100,61,47,44,59,83,-1.1,2.29,-2.04,40.4,20.4,0.17,11.3,14.3,18.6,0.9,13.4,5.1,0.0,"Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Teenager arrested after two girls, 13, seriously injured in German school attack","Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Teenager arrested after two girls, 13, seriously injured in German school attack | Teknik: RSI 40.4, 20g -2.04% | Fwd P/E 14.3 | Gelir büy. 13.4% | 52h band 20.4%"
PYPL,"PayPal Holdings, Inc.",Crypto-linked Equities,crypto_equities,Financial Services,43.85,66.2,100,7,54,69,69,86,-3.94,1.55,6.28,50.8,12.6,0.26,38.7,7.6,8.2,1.1,7.2,1.66,0.31,"Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ","Katalizör: Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ | Teknik: RSI 50.8, 20g 6.28% | Fwd P/E 7.6 | Gelir büy. 7.2% | 52h band 12.6%"
META,"Meta Platforms, Inc.",General,general,Communication Services,603.89,66.0,64,50,60,94,26,91,-1.9,7.21,3.26,50.8,30.0,0.25,1532.9,16.4,21.9,7.1,33.1,0.99,0.0,Wyoming tightens wastewater rules after Meta datacenter contractor flushed contaminated wate... || Money Matters: Oil Prices Rise Again & Meta Launches New AI Feature - WKMG,"Katalizör: Wyoming tightens wastewater rules after Meta datacenter contractor flushed contaminated wate... || Money Matters: Oil Prices Rise Again & Meta Launches New AI Feature - WKMG | Teknik: RSI 50.8, 20g 3.26% | Fwd P/E 16.4 | Gelir büy. 33.1% | 52h band 30.0%"
VRT,"Vertiv Holdings, LLC",AI Infrastructure / Data Center,ai_infra,Industrials,306.73,65.7,100,18,55,81,30,77,0.37,-8.39,2.07,51.6,72.8,0.27,117.8,34.6,77.3,10.9,30.1,4.71,0.37,Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oxipital AI Closes Series A Following Major Commercial Expansion and Rapid Adoption of its V...,"Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oxipital AI Closes Series A Following Major Commercial Expansion and Rapid Adoption of its V... | Teknik: RSI 51.6, 20g 2.07% | Fwd P/E 34.6 | Gelir büy. 30.1% | 52h band 72.8%"
DLR,"Digital Realty Trust, Inc.",REITs / Real Estate,real_estate_reits,Real Estate,175.32,65.6,89,64,53,67,10,86,0.24,-2.37,-3.11,29.7,51.9,0.2,66.0,61.2,46.4,10.4,16.7,0.97,0.23,"Trump Says Iran Ceasefire Is ""Over."" Are Fed Rate Hikes Back On the Table? - 24/7 Wall St. || How a Fed rate hike can affect mortgages — and affordable lenders to help you save - CNBC","Katalizör: Trump Says Iran Ceasefire Is ""Over."" Are Fed Rate Hikes Back On the Table? - 24/7 Wall St. || How a Fed rate hike can affect mortgages — and affordable lenders to help you save - CNBC | Teknik: RSI 29.7, 20g -3.11% | Fwd P/E 61.2 | Gelir büy. 16.7% | 52h band 51.9%"
WMB,"Williams Companies, Inc. (The)",Oil / Gas / LNG,energy_oil_gas,Energy,75.5,65.3,100,58,61,53,1,88,0.56,1.56,6.24,63.0,86.2,0.17,92.3,29.3,33.1,7.6,9.0,6.96,0.24,"Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek || Oil prices rise 7%, and stocks drop worldwide after Trump says ceasefire with Iran is 'over'...","Katalizör: Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek || Oil prices rise 7%, and stocks drop worldwide after Trump says ceasefire with Iran is 'over'... | Teknik: RSI 63.0, 20g 6.24% | Fwd P/E 29.3 | Gelir büy. 9.0% | 52h band 86.2%"
UNH,UnitedHealth Group Incorporated,Healthcare / Biotech / GLP-1,healthcare_biotech,Healthcare,427.38,65.3,81,78,64,39,38,89,-0.19,2.83,5.72,61.5,99.6,0.23,388.1,20.4,32.2,0.9,2.0,0.73,0.0,23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io,"Katalizör: 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io | Teknik: RSI 61.5, 20g 5.72% | Fwd P/E 20.4 | Gelir büy. 2.0% | 52h band 99.6%"
ISRG,"Intuitive Surgical, Inc.",Robotics / Physical AI / Automation,robotics_physical_ai,Healthcare,417.55,64.9,97,15,54,88,15,83,-2.28,5.0,-0.25,50.3,10.2,0.27,147.9,35.4,50.6,14.0,23.0,1.08,0.0,Mistral launches first robotics model in physical AI push - Reuters || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com,"Katalizör: Mistral launches first robotics model in physical AI push - Reuters || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com | Teknik: RSI 50.3, 20g -0.25% | Fwd P/E 35.4 | Gelir büy. 23.0% | 52h band 10.2%"
BA,Boeing Company (The),Defense / Aerospace,defense,Industrials,223.26,64.7,100,61,64,36,19,88,-3.63,3.14,3.4,45.9,60.4,0.36,176.0,53.3,88.2,1.9,14.0,4.94,4.65,"Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Teenager arrested after two girls, 13, seriously injured in German school attack","Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Teenager arrested after two girls, 13, seriously injured in German school attack | Teknik: RSI 45.9, 20g 3.4% | Fwd P/E 53.3 | Gelir büy. 14.0% | 52h band 60.4%"
AMT,American Tower Corporation (REI,REITs / Real Estate,real_estate_reits,Real Estate,165.91,64.7,89,64,43,72,9,87,0.4,1.43,-11.42,32.0,6.2,0.21,77.3,24.1,26.8,7.1,6.8,0.97,0.23,"Trump Says Iran Ceasefire Is ""Over."" Are Fed Rate Hikes Back On the Table? - 24/7 Wall St. || How a Fed rate hike can affect mortgages — and affordable lenders to help you save - CNBC","Katalizör: Trump Says Iran Ceasefire Is ""Over."" Are Fed Rate Hikes Back On the Table? - 24/7 Wall St. || How a Fed rate hike can affect mortgages — and affordable lenders to help you save - CNBC | Teknik: RSI 32.0, 20g -11.42% | Fwd P/E 24.1 | Gelir büy. 6.8% | 52h band 6.2%"
AMZN,"Amazon.com, Inc.",AI Infrastructure / Data Center,ai_infra,Consumer Cyclical,240.8,64.6,92,18,61,64,48,89,-2.1,1.03,-1.8,45.9,55.1,0.18,2590.4,24.3,31.0,3.5,16.6,1.38,3.83,Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oxipital AI Closes Series A Following Major Commercial Expansion and Rapid Adoption of its V...,"Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oxipital AI Closes Series A Following Major Commercial Expansion and Rapid Adoption of its V... | Teknik: RSI 45.9, 20g -1.8% | Fwd P/E 24.3 | Gelir büy. 16.6% | 52h band 55.1%"
AMD,"Advanced Micro Devices, Inc.",AI Infrastructure / Data Center,ai_infra,Technology,502.27,63.7,100,18,54,80,18,75,-2.68,-13.54,2.44,49.2,82.3,0.34,819.8,38.1,168.1,21.9,37.8,5.36,0.46,Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oxipital AI Closes Series A Following Major Commercial Expansion and Rapid Adoption of its V...,"Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oxipital AI Closes Series A Following Major Commercial Expansion and Rapid Adoption of its V... | Teknik: RSI 49.2, 20g 2.44% | Fwd P/E 38.1 | Gelir büy. 37.8% | 52h band 82.3%"
